TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,82,In Puerto Rico,4.4%,10.5%,*,N,,10.4%,*,9.2%,*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,83,Same municipio,1.0%,4.1%,*,N,,5.3%,*,5.1%,*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,84,Different municipio,3.4%,6.4%,,N,,5.1%,,4.1%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,85,In the United States,2.3%,0.8%,,N,,0.9%,,0.3%,*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,86,Elsewhere,0.4%,0.0%,,N,,0.5%,,0.4%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,86.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,86.5,PLACE OF BIRTH,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,87,Total population,"62,550","67,294",,"71,420",*,"70,097",*,"70,492",*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,88,Native,94.4%,93.4%,,91.0%,,91.0%,*,92.9%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,89,Born in Puerto Rico or the United States,93.6%,93.2%,,90.4%,,90.3%,*,91.6%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,90,In Puerto Rico,88.7%,87.5%,,82.1%,*,86.5%,,85.6%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,91,In the United States,4.9%,5.7%,,8.3%,,3.8%,,6.0%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,92,"Born in U.S. Island Areas, or born abroad of American parents",0.7%,0.2%,*,0.6%,,0.7%,,1.3%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,93,Foreign born,5.6%,6.6%,,9.0%,,9.0%,*,7.1%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,93.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,93.5,U.S. CITIZENSHIP STATUS,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,94,Foreign-born population,"3,530","4,448",,"6,406",,"6,325",*,"5,022",
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,95,Naturalized U.S. citizen,67.3%,61.2%,,69.7%,,54.2%,,64.3%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,96,Not a U.S. citizen,32.7%,38.8%,,30.3%,,45.8%,,35.7%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,96.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,96.5,YEAR OF ENTRY,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,97,Population born outside Puerto Rico,"7,051",N,,N,,"9,471",*,"10,122",*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,97.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,98,Native,"3,521",N,,N,,"3,146",,"5,100",
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,99,Entered 2010 or later,17.9%,N,,N,,18.5%,,10.2%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,100,Entered before 2010,82.1%,N,,N,,81.5%,,89.8%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,100.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,101,Foreign born,"3,530",N,,N,,"6,325",*,"5,022",
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,102,Entered 2010 or later,15.1%,N,,N,,27.1%,,12.2%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,103,Entered before 2010,84.9%,N,,N,,72.9%,,87.8%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,103.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,103.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,104,"Foreign-born population, excluding population born at sea",N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,105,Europe,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,106,Asia,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,107,Africa,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,108,Oceania,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,109,Latin America,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,110,Northern America,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,110.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,110.5,LANGUAGE SPOKEN AT HOME,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,111,Population 5 years and over,"60,686","65,167",,"68,620",*,"66,850",*,"67,531",*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,112,English only,6.1%,5.7%,,10.0%,,4.5%,,7.5%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,113,Language other than English,93.9%,94.3%,,90.0%,,95.5%,,92.5%,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,114,"Speak English less than ""very well""",48.0%,60.1%,*,47.6%,,56.5%,*,55.7%,*
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,115,Spanish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,116,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,117,Other Indo-European languages,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,118,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,119,Asian and Pacific Islander languages,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,120,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,121,Other languages,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,122,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,122.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,122.5,ANCESTRY,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,123,Total population,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,124,American,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,125,Arab,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,126,Czech,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,127,Danish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,128,Dutch,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,129,English,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,130,French (except Basque),N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,131,French Canadian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,132,German,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,133,Greek,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,134,Hungarian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,135,Irish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,136,Italian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,137,Lithuanian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,138,Norwegian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,139,Polish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,140,Portuguese,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,141,Russian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,142,Scotch-Irish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,143,Scottish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,144,Slovak,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,145,Subsaharan African,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,146,Swedish,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,147,Swiss,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,148,Ukrainian,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,149,Welsh,N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,150,West Indian (excluding Hispanic origin groups),N,N,,N,,N,,N,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,150.3,,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,150.5,COMPUTERS AND INTERNET USE,,,,,,,,,
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,151,Total households,"26,131","22,817",*,"21,736",*,"26,582",,(X),
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,152,With a computer,88.8%,84.2%,*,83.6%,,84.0%,*,(X),
CP02PR,16000US7232522,"Guaynabo zona urbana, Puerto Rico",1,153,With a broadband Internet subscription,84.9%,76.5%,*,75.2%,*,79.7%,*,(X),
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,1,Total households,"44,413","44,454",,"42,072",,"43,901",,"43,063",
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,2,Married-couple family,29.8%,31.3%,,30.3%,,33.3%,,35.7%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,3,With own children of the householder under 18 years,6.9%,8.2%,,6.0%,,7.1%,,9.4%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,4,Cohabiting couple household,6.9%,9.2%,,9.0%,,6.3%,,6.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,5,With own children of the householder under 18 years,3.1%,4.5%,,4.8%,,2.8%,,3.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,6,"Male householder, no spouse/partner present",17.8%,17.7%,,17.9%,,17.5%,,16.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,7,With own children of the householder under 18 years,0.8%,0.8%,,1.2%,,0.7%,,1.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,8,Householder living alone,14.4%,13.1%,,11.1%,*,12.4%,,11.2%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,9,65 years and over,6.3%,4.9%,,3.8%,*,4.2%,*,4.6%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,10,"Female householder, no spouse/partner present",45.5%,41.8%,,42.9%,,42.9%,,42.0%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,11,With own children of the householder under 18 years,12.3%,9.8%,,10.3%,,10.6%,,10.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,12,Householder living alone,20.2%,19.0%,,18.0%,,15.8%,*,17.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,13,65 years and over,12.6%,11.2%,,10.6%,,8.7%,*,9.3%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,13.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,14,Households with one or more people under 18 years,26.6%,27.9%,,29.5%,,25.3%,,29.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,15,Households with one or more people 65 years and over,40.8%,40.9%,,42.7%,,40.4%,,40.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,15.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,16,Average household size,2.37,2.40,,2.69,*,2.64,*,2.79,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,17,Average family size,3.07,3.04,,3.34,,3.26,,3.45,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,17.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,17.5,RELATIONSHIP,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,18,Population in households,"105,284","106,652",,"113,077",*,"115,963",*,"120,137",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,19,Householder,42.2%,41.7%,,37.2%,*,37.9%,*,35.8%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,20,Spouse,12.5%,13.5%,,11.2%,,12.7%,,12.6%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,21,Unmarried partner,3.0%,3.5%,,3.3%,,2.3%,,2.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,22,Child,33.9%,30.5%,*,33.3%,,35.1%,,36.8%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,23,Other relatives,7.8%,10.2%,,13.6%,*,10.5%,*,11.3%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,24,Other nonrelatives,0.6%,0.7%,,1.3%,,1.6%,,1.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,24.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,24.5,MARITAL STATUS,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,25,Males 15 years and over,"40,920","41,933",,"43,057",,"45,643",*,"45,575",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,26,Never married,48.4%,45.6%,,49.5%,,47.5%,,44.4%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,27,"Now married, except separated",36.4%,37.9%,,32.7%,,35.0%,,37.7%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,28,Separated,2.2%,2.2%,,1.9%,,3.8%,,1.7%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,29,Widowed,5.2%,4.2%,,2.7%,*,2.9%,*,3.1%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,30,Divorced,7.9%,10.2%,,13.2%,*,10.8%,,13.1%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,30.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,31,Females 15 years and over,"49,284","49,932",,"52,211",*,"52,521",*,"54,093",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,32,Never married,41.0%,37.6%,,40.6%,,39.1%,,39.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,33,"Now married, except separated",28.3%,31.2%,,28.2%,,30.6%,,29.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,34,Separated,2.3%,2.9%,,4.1%,*,3.3%,,3.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,35,Widowed,11.1%,12.2%,,14.3%,*,12.6%,,12.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,36,Divorced,17.2%,16.1%,,12.9%,*,14.5%,,15.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,36.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,36.5,FERTILITY,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,37,Number of women 15 to 50 years old who had a birth in the past 12 months,N,536,,"1,273",,"1,137",,"1,104",
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,38,"Unmarried women (widowed, divorced, and never married)",N,17.0%,,100.0%,,62.8%,,65.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,39,"Per 1,000 unmarried women",N,5,,62,,36,,36,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,40,"Per 1,000 women 15 to 50 years old",N,22,,48,,44,,40,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,41,"Per 1,000 women 15 to 19 years old",N,0,,0,,0,,28,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,42,"Per 1,000 women 20 to 34 years old",N,50,,82,,83,,68,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,43,"Per 1,000 women 35 to 50 years old",N,0,,28,,19,,13,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,43.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,43.5,GRANDPARENTS,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,44,Number of grandparents living with own grandchildren under 18 years,N,N,,"4,008",,"2,648",,"3,386",
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,45,Grandparents responsible for grandchildren,N,N,,33.6%,,31.0%,,43.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,45.9,Years responsible for grandchildren,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,46,Less than 1 year,N,N,,11.8%,,0.0%,,8.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,47,1 or 2 years,N,N,,3.8%,,5.6%,,3.8%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,48,3 or 4 years,N,N,,0.0%,,2.8%,,8.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,49,5 or more years,N,N,,18.0%,,22.7%,,23.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,49.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,50,Number of grandparents responsible for own grandchildren under 18 years,N,N,,"1,348",,822,,"1,488",
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,51,Who are female,N,N,,78.9%,,75.5%,,66.8%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,52,Who are married,N,N,,59.9%,,69.1%,,69.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,52.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,52.5,SCHOOL ENROLLMENT,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,53,Population 3 years and over enrolled in school,"25,992","26,761",,"28,248",,"28,474",,"32,335",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,54,"Nursery school, preschool",7.0%,6.3%,,5.6%,,6.2%,,7.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,55,Kindergarten,4.4%,6.3%,,3.6%,,4.9%,,4.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,56,Elementary school (grades 1-8),34.6%,34.3%,,35.4%,,33.7%,,35.4%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,57,High school (grades 9-12),20.9%,17.9%,,22.0%,,21.7%,,22.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,58,College or graduate school,33.1%,35.2%,,33.3%,,33.6%,,29.6%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,58.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,58.5,EDUCATIONAL ATTAINMENT,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,59,Population 25 years and over,"75,819","76,860",,"78,386",,"81,238",*,"82,564",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,60,Less than 9th grade,11.4%,11.9%,,15.8%,*,12.2%,,13.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,61,"9th to 12th grade, no diploma",7.0%,6.8%,,8.0%,,8.5%,,6.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,62,High school graduate (includes equivalency),28.6%,31.4%,,33.7%,*,27.3%,,31.2%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,63,"Some college, no degree",10.2%,7.8%,*,9.8%,,11.5%,,12.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,64,Associate's degree,9.4%,9.8%,,7.4%,,10.5%,,9.6%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,65,Bachelor's degree,23.1%,23.3%,,17.7%,*,22.7%,,19.2%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,66,Graduate or professional degree,10.2%,8.9%,,7.7%,*,7.3%,*,7.5%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,66.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,67,High school graduate or higher,81.6%,81.3%,,76.2%,*,79.3%,,79.8%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,68,Bachelor's degree or higher,33.4%,32.3%,,25.4%,*,30.0%,,26.7%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,68.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,68.5,VETERAN STATUS,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,69,Civilian population 18 years and over,"86,593","88,228",,"90,783",,"92,858",*,"94,904",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,70,Civilian veterans,2.6%,2.5%,,3.0%,,4.9%,*,4.3%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,70.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,71,Total Civilian Noninstitutionalized Population,"106,185","107,536",,"114,013",*,"116,703",*,"121,261",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,72,With a disability,22.1%,21.5%,,21.7%,,16.4%,*,16.9%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,72.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,73,Under 18 years,"19,898","19,665",,"23,552",*,"24,190",*,"26,679",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,74,With a disability,6.3%,8.4%,,7.6%,,5.7%,,2.2%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,74.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,75,18 to 64 years,"62,256","63,340",,"65,569",,"67,580",*,"70,043",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,76,With a disability,15.6%,16.9%,,17.8%,,13.5%,,12.3%,*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,76.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,77,65 years and over,"24,031","24,531",,"24,892",,"24,933",,"24,539",
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,78,With a disability,52.1%,44.0%,*,45.3%,,34.5%,*,45.8%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,78.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,78.5,RESIDENCE 1 YEAR AGO,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,79,Population 1 year and over,"105,508","107,555",,"112,363",*,"115,454",*,"120,193",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,80,Same house,90.3%,89.6%,,94.3%,*,92.3%,,90.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,81,Different house in Puerto Rico or the U.S.,9.7%,10.2%,,5.7%,*,7.6%,,9.4%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,82,In Puerto Rico,8.5%,8.9%,,5.5%,*,7.4%,,8.5%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,83,Same municipio,6.6%,6.5%,,4.0%,*,5.9%,,7.1%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,84,Different municipio,1.9%,2.5%,,1.5%,,1.6%,,1.4%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,85,In the United States,1.2%,1.2%,,0.1%,*,0.1%,*,0.9%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,86,Elsewhere,0.0%,0.2%,,0.0%,,0.2%,,0.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,86.3,,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,86.5,PLACE OF BIRTH,,,,,,,,,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,87,Total population,"106,546","107,947",,"114,335",*,"117,185",*,"121,583",*
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,88,Native,98.3%,98.8%,,99.2%,,98.3%,,98.3%,
CP02PR,16000US7263820,"Ponce zona urbana, Puerto Rico",1,89,Born in Puerto Rico or the United States,98.2%,98.6%,,98.4%,,97.9%,,97.9%,
