TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,99,Entered 2010 or later,19.9%,14.9%,*,15.3%,*,13.6%,*,11.0%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,100,Entered before 2010,80.1%,85.1%,*,84.7%,*,86.4%,*,89.0%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,100.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,101,Foreign born,"87,133","85,348",,"91,402",,"91,393",,"97,343",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,102,Entered 2010 or later,24.9%,22.6%,,17.1%,*,16.4%,*,16.2%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,103,Entered before 2010,75.1%,77.4%,,82.9%,*,83.6%,*,83.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,103.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,103.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,104,"Foreign-born population, excluding population born at sea","87,133","85,348",,"91,402",,"91,393",,"97,343",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,105,Europe,4.3%,4.0%,,5.2%,,4.7%,,4.6%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,106,Asia,3.2%,2.5%,,2.4%,,2.3%,,2.8%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,107,Africa,0.1%,0.1%,,0.0%,,0.3%,,0.2%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,108,Oceania,0.4%,0.4%,,0.0%,,0.3%,,0.7%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,109,Latin America,91.9%,92.8%,,92.3%,,91.8%,,91.4%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,110,Northern America,0.1%,0.1%,,0.1%,,0.6%,*,0.3%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,110.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,110.5,LANGUAGE SPOKEN AT HOME,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,111,Population 5 years and over,"3,078,291","3,069,357",*,"3,190,478",*,"3,251,554",*,"3,301,286",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,112,English only,6.4%,5.3%,*,5.7%,*,5.7%,*,5.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,113,Language other than English,93.6%,94.7%,*,94.3%,*,94.3%,*,94.7%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,114,"Speak English less than ""very well""",74.4%,76.7%,*,76.3%,*,76.3%,*,77.9%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,115,Spanish,93.4%,94.5%,*,N,,94.2%,*,94.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,116,"Speak English less than ""very well""",74.4%,76.6%,*,N,,76.2%,*,77.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,117,Other Indo-European languages,0.1%,0.1%,,N,,0.1%,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,118,"Speak English less than ""very well""",0.0%,0.0%,,N,,0.0%,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,119,Asian and Pacific Islander languages,0.1%,0.0%,,N,,0.0%,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,120,"Speak English less than ""very well""",0.0%,0.0%,,N,,0.0%,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,121,Other languages,0.0%,0.0%,*,N,,0.0%,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,122,"Speak English less than ""very well""",0.0%,0.0%,,N,,0.0%,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,122.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,122.5,ANCESTRY,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,123,Total population,N,N,,N,,N,,"3,474,182",
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,124,American,N,N,,N,,N,,1.7%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,125,Arab,N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,126,Czech,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,127,Danish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,128,Dutch,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,129,English,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,130,French (except Basque),N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,131,French Canadian,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,132,German,N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,133,Greek,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,134,Hungarian,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,135,Irish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,136,Italian,N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,137,Lithuanian,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,138,Norwegian,N,N,,N,,N,,0.0%,
