TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,52.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,52.5,SCHOOL ENROLLMENT,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,53,Population 3 years and over enrolled in school,"747,920","742,847",,"804,711",*,"846,874",*,"892,872",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,54,"Nursery school, preschool",4.7%,4.8%,,5.6%,*,5.8%,*,5.9%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,55,Kindergarten,3.5%,3.7%,,4.2%,,4.3%,*,4.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,56,Elementary school (grades 1-8),37.3%,38.9%,*,38.2%,,37.8%,,38.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,57,High school (grades 9-12),20.6%,20.7%,,20.9%,,21.2%,,21.2%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,58,College or graduate school,33.9%,31.9%,*,31.1%,*,30.9%,*,30.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,58.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,58.5,EDUCATIONAL ATTAINMENT,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,59,Population 25 years and over,"2,301,735","2,288,030",*,"2,343,675",*,"2,372,197",*,"2,382,526",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,60,Less than 9th grade,13.9%,14.7%,*,15.8%,*,15.6%,*,16.4%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,61,"9th to 12th grade, no diploma",7.3%,7.8%,*,8.1%,*,8.8%,*,8.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,62,High school graduate (includes equivalency),28.2%,28.2%,,27.9%,,27.7%,,27.2%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,63,"Some college, no degree",12.2%,12.1%,,12.2%,,12.6%,,13.2%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,64,Associate's degree,11.2%,10.6%,*,10.4%,*,10.0%,*,9.6%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,65,Bachelor's degree,19.3%,18.8%,,18.3%,*,18.3%,*,17.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,66,Graduate or professional degree,8.0%,7.9%,,7.4%,*,7.0%,*,7.0%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,66.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,67,High school graduate or higher,78.8%,77.5%,*,76.1%,*,75.6%,*,74.7%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,68,Bachelor's degree or higher,27.2%,26.7%,,25.7%,*,25.3%,*,24.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,68.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,68.5,VETERAN STATUS,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,69,Civilian population 18 years and over,"2,618,610","2,599,633",*,"2,678,400",*,"2,713,681",*,"2,735,679",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,70,Civilian veterans,2.7%,2.9%,,2.7%,,2.9%,*,3.1%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,70.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,71,Total Civilian Noninstitutionalized Population,"3,169,528","3,171,580",*,"3,309,977",*,"3,384,148",*,"3,447,794",*
